tier,node_name,parent,PSI_attribute,year,week_no,lot_id
0,supply_point,root,3,2026,49,
0,supply_point,root,3,2026,50,
0,supply_point,root,3,2026,51,
0,supply_point,root,3,2026,52,
0,supply_point,root,3,2026,53,
0,supply_point,root,3,2027,1,
0,supply_point,root,3,2027,2,
0,supply_point,root,3,2027,3,
0,supply_point,root,3,2027,4,
0,supply_point,root,3,2027,5,
0,supply_point,root,3,2027,6,
0,supply_point,root,3,2027,7,
0,supply_point,root,3,2027,8,
0,supply_point,root,3,2027,9,
0,supply_point,root,3,2027,10,
0,supply_point,root,3,2027,11,
0,supply_point,root,3,2027,12,
0,supply_point,root,3,2027,13,
0,supply_point,root,3,2027,14,
0,supply_point,root,3,2027,15,
0,supply_point,root,3,2027,16,
0,supply_point,root,3,2027,17,
0,supply_point,root,3,2027,18,
0,supply_point,root,3,2027,19,
0,supply_point,root,3,2027,20,
0,supply_point,root,3,2027,21,
0,supply_point,root,3,2027,22,
0,supply_point,root,3,2027,23,
0,supply_point,root,3,2027,24,
0,supply_point,root,3,2027,25,
0,supply_point,root,3,2027,26,
0,supply_point,root,3,2027,27,
0,supply_point,root,3,2027,28,
0,supply_point,root,3,2027,29,
0,supply_point,root,3,2027,30,
0,supply_point,root,3,2027,31,
0,supply_point,root,3,2027,32,
0,supply_point,root,3,2027,33,
0,supply_point,root,3,2027,34,
0,supply_point,root,3,2027,35,
0,supply_point,root,3,2027,36,
0,supply_point,root,3,2027,37,
0,supply_point,root,3,2027,38,
0,supply_point,root,3,2027,39,
0,supply_point,root,3,2027,40,
0,supply_point,root,3,2027,41,
0,supply_point,root,3,2027,42,
0,supply_point,root,3,2027,43,
0,supply_point,root,3,2027,44,
0,supply_point,root,3,2027,45,
0,supply_point,root,3,2027,46,
0,supply_point,root,3,2027,47,
0,supply_point,root,3,2027,48,
0,supply_point,root,3,2027,49,
0,supply_point,root,3,2027,50,
0,supply_point,root,3,2027,51,
0,supply_point,root,3,2027,52,
0,supply_point,root,3,2027,53,
1,MOMASIA,supply_point,0,2025,1,
1,MOMASIA,supply_point,0,2025,2,
1,MOMASIA,supply_point,0,2025,3,
1,MOMASIA,supply_point,0,2025,4,
1,MOMASIA,supply_point,0,2025,5,
1,MOMASIA,supply_point,0,2025,6,
1,MOMASIA,supply_point,0,2025,7,
1,MOMASIA,supply_point,0,2025,8,
1,MOMASIA,supply_point,0,2025,9,
1,MOMASIA,supply_point,0,2025,10,
